player_id,gamer_tag,state,events_played,sets_played,win_rate,weighted_win_rate,avg_seed_delta,opponent_strength,character_sets,character_win_rate,character_weighted_win_rate,character_usage_rate,upset_rate,activity_score,tournaments_played,latest_event_start
1938868,Suture,GA,1,2,1.0,1.0,-2.0,0.1625,0,,,0.0,,1.2,1,1756063800
4943787,CheesyFPS,,1,4,1.0,1.0,3.0,0.5916666666666667,0,,,0.0,1.0,1.4,1,1756580400
688460,JJBREEZE,GA,1,6,1.0,1.0,0.0,0.18279521404521404,0,,,0.0,,1.6,1,1756683000
2515061,Sidvictor,TX,1,6,1.0,1.0,0.0,0.2025122549019608,0,,,0.0,,1.6,1,1756663200
131537,Musa,,1,6,1.0,1.0,5.0,0.2341839447102605,0,,,0.0,1.0,1.6,1,1756598400
4884368,frud,,1,3,1.0,1.0,0.0,0.3055555555555555,1,1.0,1.0,0.3333333333333333,,1.3,1,1753132800
1630979,ibuprofenfan,GA,1,4,1.0,1.0,7.0,0.5625,0,,,0.0,1.0,1.4,1,1756497600
266892,Zanya,NY,1,5,1.0,1.0,0.0,0.20805555555555555,0,,,0.0,,1.5,1,1754341200
49302,Peabnut,SC,1,8,1.0,1.0,0.0,0.18474970806002783,0,,,0.0,,1.8,1,1754150400
4962291,CAUP,,1,3,1.0,1.0,0.0,0.4166666666666667,0,,,0.0,,1.3,1,1757260800
422150,Crum,GA,2,2,1.0,1.0,2.0,0.75,0,,,0.0,1.0,2.2,2,1756508400
1152009,Utop-ian,,1,7,1.0,1.0,0.0,0.22353316326530612,0,,,0.0,,1.7000000000000002,1,1757750400
3000557,chpstks,FL,1,5,1.0,1.0,0.0,0.22676470588235295,0,,,0.0,,1.5,1,1758493800
3809706,LogieBear,GA,1,4,1.0,1.0,3.0,0.675,0,,,0.0,1.0,1.4,1,1759006800
1009,Colbol,GA,4,25,0.96,0.964343183646398,0.0,0.2217793481028775,0,,,0.0,,6.5,4,1759784400
1480393,DDee,GA,9,44,0.9318181818181818,0.9280676898711244,-0.4444444444444444,0.22609353658818898,0,,,0.0,,13.4,8,1759680000
1098830,Nickrixo,,1,8,0.875,0.875,1.0,0.11374007936507936,0,,,0.0,,1.8,1,1758996000
4341204,Zenith,,2,12,0.8333333333333334,0.8685700298435987,8.5,0.2757936507936508,0,,,0.0,0.8333333333333334,3.2,1,1756677600
24638,omega,GA,14,79,0.8607594936708861,0.8653356031065708,0.46153846153846156,0.2591628404329488,0,,,0.0,0.6,21.9,12,1759359600
271346,bag,GA,2,11,0.8181818181818182,0.863497994354373,0.5,0.11074763794199531,0,,,0.0,,3.1,2,1759179600
1183115,Kami,GA,4,12,0.8333333333333334,0.8489073884671529,0.25,0.41468253968253965,0,,,0.0,0.5,5.2,3,1759017600
717797,knight,SC,7,30,0.8333333333333334,0.8460077982832416,-0.5714285714285714,0.31525252525252523,0,,,0.0,,10.0,7,1759179600
606386,Dany2theny,TN,1,12,0.8333333333333334,0.8333333333333334,25.0,0.14342065098644047,0,,,0.0,0.75,2.2,1,1754150400
1453564,PiggyG,,1,6,0.8333333333333334,0.8333333333333333,1.0,0.4654761904761905,0,,,0.0,0.5,1.6,1,1754154000
1287834,Salvo,GA,3,13,0.8461538461538461,0.8258538534073236,-0.3333333333333333,0.3141941391941392,0,,,0.0,0.0,4.3,3,1759528800
3178940,YunaLaPuffa,,1,11,0.8181818181818182,0.8181818181818182,5.0,0.16492225139766123,0,,,0.0,0.6,2.1,1,1757750400
252344,Geemoney$,FL,7,39,0.8205128205128205,0.8151337343056175,-1.0,0.3486809101615348,16,0.9375,0.9234697322002251,0.41025641025641024,0.6,10.9,7,1759188600
6905,Sonido,,3,19,0.7894736842105263,0.8117026342610922,0.0,0.23195357274304643,0,,,0.0,0.5,4.9,3,1758844800
466564,chooryu :),GA,5,39,0.7948717948717948,0.8088576741895592,0.4,0.28226317716871024,0,,,0.0,0.8333333333333334,8.9,5,1759705200
1852984,CJay,FL,6,38,0.8157894736842105,0.802135340984917,-0.8333333333333334,0.2892451146333728,0,,,0.0,0.75,9.8,6,1759608000
1154793,spickles,,20,121,0.8016528925619835,0.8015933565239552,0.0,0.3100214353069474,0,,,0.0,0.391304347826087,32.1,19,1759449600
2058589,CruzXD,,1,10,0.8,0.8,2.0,0.1620078255078255,0,,,0.0,0.75,2.0,1,1757750400
802498,Captain C,,1,5,0.8,0.8,1.0,0.6381818181818182,0,,,0.0,0.6666666666666666,1.5,1,1759017600
2348605,Ryu from Streets,,17,78,0.7948717948717948,0.7986449385921914,-0.5882352941176471,0.24435818375355828,32,0.75,0.7907163991990316,0.41025641025641024,0.1,24.8,16,1759874400
1687384,swaggerbee,GA,5,28,0.7857142857142857,0.7926216227711759,0.4,0.2801084827870542,0,,,0.0,0.16666666666666666,7.800000000000001,5,1759179600
25608,Emu,,2,11,0.8181818181818182,0.7906406453777608,4.0,0.566017316017316,7,0.7142857142857143,0.7142857142857144,0.6363636363636364,0.75,3.1,1,1757365200
150402,Pokchop,GA,1,9,0.7777777777777778,0.7777777777777778,0.0,0.25816976730955227,0,,,0.0,0.0,1.9,1,1756683000
15921,Fatality,GA,1,9,0.7777777777777778,0.7777777777777778,8.0,0.10050481780041529,0,,,0.0,0.8,1.9,1,1754150400
470912,Shaman,GA,2,8,0.75,0.7708502627624477,0.0,0.5282738095238095,0,,,0.0,1.0,2.8,2,1755979200
2414381,ROB Slayer,GA,11,54,0.7962962962962963,0.7684355072297325,1.7777777777777777,0.31680952965876796,0,,,0.0,0.65,16.4,7,1760054400
