player_id,gamer_tag,state,events_played,sets_played,win_rate,weighted_win_rate,avg_seed_delta,opponent_strength,character_sets,character_win_rate,character_weighted_win_rate,character_usage_rate,upset_rate,activity_score,tournaments_played,latest_event_start,avg_event_entrants,max_event_entrants
2462362,makiGOAT,GA,1,5,0.6,0.6000000000000001,-2.0,0.19052631578947368,0,,,0.0,0.0,1.5,1,1755446400,57.0,57
3623160,Nintendom7,GA,1,5,0.6,0.6,6.0,0.10222222222222223,0,,,0.0,0.0,1.5,1,1753545600,37.0,37
1671724,Transcendent,GA,1,5,0.6,0.6,67.0,0.023370627628161646,0,,,0.0,0.3333333333333333,1.5,1,1754150400,160.0,160
3927021,toties,GA,1,5,0.6,0.6,6.0,0.08839605734767025,0,,,0.0,0.5,1.5,1,1756683000,35.0,35
3426567,HBKdoza,GA,1,5,0.6,0.6,-1.0,0.1964983164983165,0,,,0.0,0.0,1.5,1,1756683000,35.0,35
4076327,KhalRhaego,GA,1,5,0.6,0.6,-1.0,0.33894783377542,0,,,0.0,0.0,1.5,1,1756683000,35.0,35
390270,NinjaLuis,GA,1,5,0.6,0.6,2.0,0.25689655172413794,0,,,0.0,0.5,1.5,1,1756683000,35.0,35
4285541,Iso.Dgaf,GA,1,5,0.6,0.6,-4.0,0.1466015466015466,0,,,0.0,0.0,1.5,1,1756683000,35.0,35
4020750,Slash,GA,1,5,0.6,0.6,1.0,0.07304485852311939,0,,,0.0,0.0,1.5,1,1756683000,35.0,35
258173,chrisymandias,GA,1,5,0.6,0.5999999999999999,-2.0,0.12738095238095237,0,,,0.0,0.0,1.5,1,1756598400,45.0,45
3775729,aScells,GA,1,5,0.6,0.5999999999999999,7.0,0.07033836624080526,0,,,0.0,0.0,1.5,1,1756598400,45.0,45
2355717,1STPAI,GA,1,5,0.6,0.5999999999999999,14.0,0.06136156625032714,0,,,0.0,0.6666666666666666,1.5,1,1756598400,45.0,45
3573620,AXPS420,GA,1,5,0.6,0.5999999999999999,3.0,0.06836066837294721,0,,,0.0,0.0,1.5,1,1756598400,45.0,45
1253838,everyone else,GA,5,25,0.6,0.5971283219698206,-2.0,0.19677802274353998,0,,,0.0,0.16666666666666666,7.5,5,1760054400,35.4,41
4586226,Netherlord64,GA,8,38,0.6052631578947368,0.5960453993875183,6.375,0.1739836610986396,0,,,0.0,0.1875,11.8,8,1754523000,44.625,160
34781,cardd,GA,5,24,0.5833333333333334,0.5945867462545821,-6.0,0.2524642041943593,0,,,0.0,0.3,7.4,5,1759784400,55.8,160
282674,STiCK,GA,12,61,0.5901639344262295,0.593819787547559,2.25,0.18623387066313957,0,,,0.0,0.24,18.1,11,1757030400,40.0,160
22583,Dubz,GA,8,44,0.5681818181818182,0.5826977441338503,5.375,0.293320178498566,0,,,0.0,0.3333333333333333,12.4,6,1757714400,34.75,160
1482843,Shaine,GA,2,14,0.5714285714285714,0.5786014809090231,3.5,0.23113444095586952,0,,,0.0,0.0,3.4000000000000004,2,1754150400,88.0,160
1810274,Planet Of Da,GA,16,71,0.5774647887323944,0.5762121469423083,-0.375,0.19672638060109254,0,,,0.0,0.2222222222222222,23.1,14,1759705200,36.5,160
36462,Nimbus,GA,3,14,0.5714285714285714,0.5753549736767042,0.3333333333333333,0.16437862054403407,0,,,0.0,0.16666666666666666,4.4,3,1757030400,39.333333333333336,51
1406480,tristories,GA,2,9,0.5555555555555556,0.5597856733124094,0.0,0.2708994708994709,0,,,0.0,0.2,2.9,2,1757030400,34.0,40
278724,Taza,GA,3,14,0.5714285714285714,0.5549762429067175,-7.0,0.239907116692831,0,,,0.0,0.5,4.4,3,1756155600,35.666666666666664,39
181040,#1 TEASER FAN FOR LIFE,GA,2,9,0.5555555555555556,0.5458034180994124,3.0,0.05708140226481535,0,,,0.0,0.0,2.9,1,1754154000,95.0,160
2080364,Derp,GA,2,9,0.5555555555555556,0.5392686726916186,2.0,0.12632162237425396,0,,,0.0,0.0,2.9,2,1754150400,88.0,160
1230555,Sakruoi,GA,17,67,0.5373134328358209,0.5314149477289454,1.0588235294117647,0.16977622233814682,0,,,0.0,0.20833333333333334,23.7,16,1759705200,35.23529411764706,160
2152846,Nikol,GA,5,21,0.5238095238095238,0.5160304926941143,8.8,0.250110953472298,0,,,0.0,0.375,7.1,5,1754953200,32.8,62
1792035,R0CK,GA,3,13,0.5384615384615384,0.514081906096344,9.666666666666666,0.16459289399610877,0,,,0.0,0.3333333333333333,4.3,3,1758997800,32.333333333333336,44
1137803,N8borsclub,GA,7,29,0.5172413793103449,0.5080089498656215,-2.0,0.11860620958776677,0,,,0.0,0.2,9.9,7,1759449600,36.714285714285715,43
2149803,ImNoPro,GA,7,28,0.5,0.5034461594784356,6.571428571428571,0.1406472512193311,0,,,0.0,0.3076923076923077,9.8,7,1758992400,46.57142857142857,160
3055798,Cromat,GA,4,16,0.5,0.5000000000000001,8.5,0.1276311716489611,0,,,0.0,0.2222222222222222,5.6,4,1758493800,54.5,160
2364649,YoshiAteMyPizza,GA,1,4,0.5,0.5,28.0,0.10032833020637899,0,,,0.0,0.5,1.4,1,1756598400,45.0,45
1780650,Dires,GA,1,4,0.5,0.5,11.0,0.08002515502515503,0,,,0.0,0.3333333333333333,1.4,1,1756598400,45.0,45
4405307,cheif347,GA,1,4,0.5,0.5,7.0,0.06843587447035723,0,,,0.0,0.3333333333333333,1.4,1,1756663200,34.0,34
1472387,xXx_ItsFerrni_xXx,GA,1,4,0.5,0.5,-1.0,0.1566017316017316,0,,,0.0,0.0,1.4,1,1756663200,34.0,34
2722036,Turtle_,GA,1,4,0.5,0.5,5.0,0.10973164618864233,0,,,0.0,0.0,1.4,1,1756666800,41.0,41
3446529,Kaizo,GA,1,4,0.5,0.5,0.0,0.3333333333333333,0,,,0.0,0.3333333333333333,1.4,1,1753545600,37.0,37
4950961,LostCause919,GA,1,4,0.5,0.5,16.0,0.2837384259259259,0,,,0.0,0.5,1.4,1,1756666800,41.0,41
4780181,Xyylias,GA,1,4,0.5,0.5,13.0,0.12756410256410255,0,,,0.0,0.3333333333333333,1.4,1,1756683000,35.0,35
4091753,MontanaY2J,GA,1,4,0.5,0.5,16.0,0.2864072712418301,0,,,0.0,0.5,1.4,1,1756683000,35.0,35
1209911,Element,GA,1,4,0.5,0.5,2.0,0.04494047619047619,0,,,0.0,0.0,1.4,1,1758844800,40.0,40
2823413,Errant,GA,1,4,0.5,0.5,3.0,0.05211885815334091,0,,,0.0,0.0,1.4,1,1756155600,39.0,39
4949517,BeigeMage,GA,1,4,0.5,0.5,26.0,0.04425837320574162,0,,,0.0,0.5,1.4,1,1756656000,51.0,51
3556938,w3155,GA,1,4,0.5,0.5,0.0,0.054449833702882484,0,,,0.0,0.5,1.4,1,1756656000,51.0,51
2894975,WeleX,GA,1,4,0.5,0.5,4.0,0.04563492063492063,0,,,0.0,0.0,1.4,1,1756656000,51.0,51
1990149,Ace_CMH,GA,2,8,0.5,0.5,1.5,0.1609056875921616,0,,,0.0,0.0,2.8,2,1754006400,53.0,62
2228433,BlackHeart,GA,1,4,0.5,0.5,-5.0,0.06531400966183575,0,,,0.0,,1.4,1,1756683000,35.0,35
2057044,Kazvto,GA,1,4,0.5,0.5,3.0,0.07366151866151867,0,,,0.0,0.0,1.4,1,1755446400,57.0,57
979040,Dragonned,GA,1,4,0.5,0.5,0.0,0.13333333333333333,0,,,0.0,0.0,1.4,1,1756425600,39.0,39
595350,Sung Jinwoo,GA,1,4,0.5,0.5,32.0,0.017449817518248176,0,,,0.0,0.0,1.4,1,1754150400,160.0,160
397537,Burlum,GA,1,4,0.5,0.5,33.0,0.017858693786212375,0,,,0.0,0.0,1.4,1,1754150400,160.0,160
4875879,Mr. Chez,GA,1,4,0.5,0.5,6.0,0.07448607427055703,0,,,0.0,0.0,1.4,1,1753545600,37.0,37
29578,JoseJFB,GA,1,4,0.5,0.5,-19.0,0.010057423851475449,0,,,0.0,,1.4,1,1754150400,160.0,160
4892409,BOB,GA,1,4,0.5,0.5,16.0,0.29010416666666666,0,,,0.0,0.5,1.4,1,1753545600,37.0,37
295892,CorazónCodi,GA,2,8,0.5,0.5,7.5,0.22141719187675069,0,,,0.0,0.0,2.8,2,1755979200,83.5,160
905410,Primary Trout~,GA,7,28,0.5,0.4980262426033105,5.428571428571429,0.10732838539525603,0,,,0.0,0.15384615384615385,9.8,7,1757030400,58.714285714285715,160
4944131,The Scary Door,GA,2,8,0.5,0.49562110210300525,10.0,0.09707456286403655,0,,,0.0,0.3333333333333333,2.8,2,1757714400,37.5,45
1392649,KageGato,GA,7,28,0.5,0.493147512128309,-2.2857142857142856,0.24538700958691018,0,,,0.0,0.2727272727272727,9.8,4,1756677600,36.142857142857146,160
1647157,Kailen,GA,3,12,0.5,0.48973570239142244,-10.333333333333334,0.14349415281008923,0,,,0.0,0.5,4.2,3,1754150400,88.66666666666667,160
1169889,Bumble,GA,6,26,0.46153846153846156,0.4735560277679588,9.5,0.18841517174318625,0,,,0.0,0.3125,8.6,5,1759703400,41.666666666666664,160
1059715,Daiyan,GA,8,24,0.5,0.4538730093992369,-2.142857142857143,0.2057961871409376,0,,,0.0,0.1111111111111111,10.4,7,1757030400,39.125,160
2764337,V2Kwame,GA,5,18,0.4444444444444444,0.44732471727582507,3.0,0.19089349382939938,0,,,0.0,0.18181818181818182,6.8,5,1758844800,35.2,41
509710,iGreg!,GA,3,11,0.45454545454545453,0.4452088652320275,-3.6666666666666665,0.07300644951165731,0,,,0.0,0.0,4.1,3,1758240000,80.33333333333333,160
2366169,crimFANN,GA,6,21,0.42857142857142855,0.443535100132893,2.1666666666666665,0.2616985713726352,0,,,0.0,0.36363636363636365,8.1,4,1755982800,34.0,160
2634169,Grey,GA,2,7,0.42857142857142855,0.4309836348096977,-2.5,0.22177332471450117,0,,,0.0,0.5,2.7,2,1758756600,33.5,41
1794753,Bagel,GA,5,18,0.4444444444444444,0.42017275484664574,3.6,0.09348259988593506,0,,,0.0,0.2222222222222222,6.8,5,1758240000,37.0,44
1653684,varunk,GA,7,33,0.3333333333333333,0.41880122256612906,-3.0,0.2607249423851827,0,,,0.0,0.1875,10.3,6,1755127800,37.285714285714285,160
1052642,GOOMBA!,GA,4,14,0.42857142857142855,0.4103730589904161,9.75,0.17140558508624476,0,,,0.0,0.36363636363636365,5.4,2,1755446400,60.5,160
2648735,Nyramyss,GA,4,17,0.47058823529411764,0.3949563952607807,8.0,0.21996252445318132,0,,,0.0,0.2,5.7,4,1760054400,57.0,160
36310,Dom,GA,3,10,0.4,0.391571079227751,-2.0,0.16033793820558526,0,,,0.0,0.0,4.0,3,1759449600,35.0,40
3598331,Bahamut,GA,2,6,0.3333333333333333,0.340554271309977,2.5,0.12171286259521553,0,,,0.0,0.0,2.6,1,1756663200,39.5,45
35934,Hue,GA,2,6,0.3333333333333333,0.33639372773333653,13.0,0.04455297788631122,0,,,0.0,0.25,2.6,2,1756425600,99.5,160
30532,Jonestly,GA,1,3,0.3333333333333333,0.33333333333333337,-55.0,0.009540174276673951,0,,,0.0,,1.3,1,1754150400,160.0,160
1183375,DaHuey,GA,1,3,0.3333333333333333,0.33333333333333337,13.0,0.03332347431726314,0,,,0.0,0.0,1.3,1,1754150400,160.0,160
1159961,goopie guy,GA,1,3,0.3333333333333333,0.33333333333333337,4.0,0.017664702447311144,0,,,0.0,0.0,1.3,1,1754150400,160.0,160
2584378,Risan.The0utsider_36,GA,1,3,0.3333333333333333,0.33333333333333337,8.0,0.08888888888888889,0,,,0.0,0.3333333333333333,1.3,1,1756683000,35.0,35
1110820,Fedora,GA,1,3,0.3333333333333333,0.33333333333333337,-22.0,0.016045674509523468,0,,,0.0,0.0,1.3,1,1754150400,160.0,160
1183242,Gekyume,GA,1,3,0.3333333333333333,0.33333333333333337,26.0,0.06280502250651504,0,,,0.0,0.0,1.3,1,1754150400,160.0,160
3796438,camcam,GA,1,3,0.3333333333333333,0.33333333333333337,59.0,0.010502897580398435,0,,,0.0,0.3333333333333333,1.3,1,1754150400,160.0,160
4733195,Mantra,GA,1,3,0.3333333333333333,0.33333333333333337,63.0,0.010780413940278366,0,,,0.0,0.3333333333333333,1.3,1,1754150400,160.0,160
1144070,Nikita,GA,1,3,0.3333333333333333,0.33333333333333337,46.0,0.02936560811310978,0,,,0.0,0.3333333333333333,1.3,1,1754150400,160.0,160
68213,SgtCarson,GA,2,6,0.3333333333333333,0.33333333333333337,26.0,0.059689709217020145,0,,,0.0,0.3333333333333333,2.6,1,1754154000,95.0,160
3796232,JB_Staticxz,GA,1,3,0.3333333333333333,0.33333333333333337,55.0,0.010966915836101883,0,,,0.0,0.3333333333333333,1.3,1,1754150400,160.0,160
4559756,CHAOS,GA,1,3,0.3333333333333333,0.33333333333333337,57.0,0.019760462478909082,0,,,0.0,0.3333333333333333,1.3,1,1754150400,160.0,160
2785367,mania,GA,2,6,0.3333333333333333,0.33333333333333337,-4.5,0.08941196923861416,0,,,0.0,0.3333333333333333,2.6,2,1754006400,53.0,62
3584711,ShadowWork,GA,1,3,0.3333333333333333,0.33333333333333337,-11.0,0.03400727428326915,0,,,0.0,,1.3,1,1756598400,45.0,45
4368183,Xcite!,GA,1,3,0.3333333333333333,0.33333333333333337,15.0,0.04198830409356725,0,,,0.0,0.3333333333333333,1.3,1,1755216000,43.0,43
4951149,Shaggy,GA,1,3,0.3333333333333333,0.33333333333333337,7.0,0.052749719416386086,0,,,0.0,0.5,1.3,1,1756683000,35.0,35
4951110,Bleachedbagel,GA,1,3,0.3333333333333333,0.33333333333333337,6.0,0.19869281045751633,0,,,0.0,0.0,1.3,1,1756683000,35.0,35
367828,EdgyKnight,GA,1,3,0.3333333333333333,0.33333333333333337,-5.0,0.03678678678678679,0,,,0.0,0.0,1.3,1,1754006400,62.0,62
1693617,HelpMe,GA,1,3,0.3333333333333333,0.33333333333333337,3.0,0.031451487371068565,0,,,0.0,0.0,1.3,1,1754006400,62.0,62
1193981,Minty,GA,2,6,0.3333333333333333,0.33333333333333337,7.5,0.07955313119399807,0,,,0.0,0.25,2.6,2,1754006400,45.5,62
1183271,Fuhgetabaddit,GA,1,3,0.3333333333333333,0.3333333333333333,-3.0,0.04532163742690058,0,,,0.0,,1.3,1,1756663200,34.0,34
1003300,GRUGCEL,GA,1,3,0.3333333333333333,0.3333333333333333,0.0,0.3649193548387097,0,,,0.0,0.5,1.3,1,1756663200,34.0,34
4555347,CyberPomme,GA,1,3,0.3333333333333333,0.3333333333333333,1.0,0.19930555555555557,0,,,0.0,0.5,1.3,1,1756663200,34.0,34
4945153,HyperT,GA,1,3,0.3333333333333333,0.3333333333333333,8.0,0.08888888888888889,0,,,0.0,0.3333333333333333,1.3,1,1756663200,34.0,34
1415412,Hennyjuice,GA,1,3,0.3333333333333333,0.3333333333333333,5.0,0.17619047619047618,0,,,0.0,0.0,1.3,1,1755295200,36.0,36
3012512,TC,GA,1,3,0.3333333333333333,0.3333333333333333,3.0,0.06094480232411267,0,,,0.0,0.0,1.3,1,1757635200,33.0,33
36826,DelFuego,GA,2,6,0.3333333333333333,0.3333333333333333,1.0,0.10634920634920635,0,,,0.0,0.25,2.6,2,1752876000,36.5,44
2397250,echoes,GA,1,3,0.3333333333333333,0.3333333333333333,-5.0,0.04772079772079772,0,,,0.0,0.0,1.3,1,1752796800,44.0,44
4666330,Unity,GA,1,3,0.3333333333333333,0.3333333333333333,0.0,0.06388888888888888,0,,,0.0,0.0,1.3,1,1756666800,41.0,41
34737,Crusher,GA,1,3,0.3333333333333333,0.3333333333333333,0.0,0.3639705882352941,0,,,0.0,0.5,1.3,1,1753545600,37.0,37
1875386,GingerSNAP,GA,1,3,0.3333333333333333,0.3333333333333333,-3.0,0.14532163742690057,0,,,0.0,0.0,1.3,1,1753545600,37.0,37
2300786,Lalaballs,GA,1,3,0.3333333333333333,0.3333333333333333,6.0,0.19869281045751633,0,,,0.0,0.0,1.3,1,1755550800,37.0,37
2233732,Drippy,GA,1,3,0.3333333333333333,0.3333333333333333,2.0,0.06056166056166056,0,,,0.0,0.0,1.3,1,1760054400,35.0,35
4912998,NoBrainer,GA,2,6,0.3333333333333333,0.3333333333333333,0.0,0.28819898329702254,0,,,0.0,0.25,2.6,1,1756683000,40.0,45
1319950,BrAndO,GA,1,3,0.3333333333333333,0.3333333333333333,17.0,0.04121918270854441,0,,,0.0,0.3333333333333333,1.3,1,1755446400,57.0,57
3443791,hotdiggitydog,GA,1,3,0.3333333333333333,0.3333333333333333,18.0,0.044389233954451345,0,,,0.0,0.3333333333333333,1.3,1,1755446400,57.0,57
3023788,meen,GA,1,3,0.3333333333333333,0.3333333333333333,-5.0,0.09769119769119769,0,,,0.0,0.0,1.3,1,1753545600,37.0,37
31308,BigPlay,GA,1,3,0.3333333333333333,0.3333333333333333,-8.0,0.0725438596491228,0,,,0.0,0.0,1.3,1,1756656000,51.0,51
2998706,VolarIRL,GA,1,3,0.3333333333333333,0.3333333333333333,5.0,0.07443718228031954,0,,,0.0,0.5,1.3,1,1756656000,51.0,51
3603872,SirMelltheGreat,GA,1,3,0.3333333333333333,0.3333333333333333,1.0,0.04558404558404558,0,,,0.0,0.5,1.3,1,1756656000,51.0,51
4038816,KingKirb,GA,2,7,0.42857142857142855,0.31412386383112384,4.0,0.11015928515928516,0,,,0.0,0.0,2.7,2,1760054400,36.0,37
1630543,Nestor,GA,5,14,0.2857142857142857,0.2935919577632887,8.2,0.1412654285650679,0,,,0.0,0.2727272727272727,6.4,5,1756249200,43.4,160
3373990,vivor,GA,8,22,0.2727272727272727,0.2419391544605667,1.5,0.08262060631640288,0,,,0.0,0.06666666666666667,10.2,8,1758844800,36.75,44
1699369,annamation,GA,9,24,0.25,0.22808742096594853,4.222222222222222,0.12092689406201768,0,,,0.0,0.0,11.4,9,1759100400,39.333333333333336,160
1630530,Mighty Morfin,GA,8,21,0.23809523809523808,0.22585818963451196,6.0,0.13329696778702668,0,,,0.0,0.125,10.1,8,1759878000,34.125,160
3640465,Sh33rZ,GA,15,41,0.2682926829268293,0.22270944377854507,4.8,0.13421147488380342,0,,,0.0,0.09375,19.1,15,1760054400,35.86666666666667,62
2737569,Lumin!,GA,4,10,0.2,0.2172951994402129,5.25,0.10170859578956862,0,,,0.0,0.0,5.0,3,1758470400,53.75,160
534660,D.King79,GA,8,19,0.15789473684210525,0.2168286260420921,4.875,0.1094723887285714,0,,,0.0,0.1111111111111111,9.9,8,1760054400,37.875,62
4064891,11D7,GA,4,10,0.2,0.2028961353903015,19.25,0.08204378461822495,0,,,0.0,0.2,5.0,4,1755216000,69.25,160
4757730,Thepreparedartist,GA,2,5,0.2,0.19555374142397627,3.0,0.07701438346599637,0,,,0.0,0.2,2.5,1,1756683000,40.0,45
1632443,Toasty,GA,2,5,0.2,0.1951324790641039,3.5,0.1024074074074074,0,,,0.0,0.0,2.5,2,1753056000,37.5,44
36418,Avalon,GA,10,24,0.16666666666666666,0.18818445031985653,7.4,0.06793712840409581,0,,,0.0,0.1,12.4,10,1758844800,54.0,160
547843,Cute Fluffy Puppy Lover,GA,2,5,0.2,0.16188099749973273,-28.0,0.028983133248927095,0,,,0.0,0.0,2.5,2,1754150400,102.0,160
