player_id,gamer_tag,state,events_played,sets_played,win_rate,weighted_win_rate,avg_seed_delta,opponent_strength,character_sets,character_win_rate,character_weighted_win_rate,character_usage_rate,upset_rate,activity_score,tournaments_played,latest_event_start,avg_event_entrants,max_event_entrants,events_with_known_entrants,large_event_threshold,large_event_share,events_with_known_state,inferred_state,inferred_state_confidence,home_state,home_state_inferred,home_state_confidence,home_country,home_country_inferred,home_country_confidence
3586471,Bailey,OR,12,46,0.6521739130434783,0.629076358983366,8.11111111111111,0.21431673072599194,0,,,0.0,0.3333333333333333,16.6,12,1761873600,42.833333333333336,230,12,32,0.25,12,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
527424,alex,OR,17,84,0.6309523809523809,0.6220337934014125,3.0,0.2943944183720233,0,,,0.0,0.18181818181818182,25.4,15,1762570800,38.0,230,17,32,0.35294117647058826,17,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
617151,jondude,OR,4,16,0.625,0.6127240245487748,3.25,0.17370751202988044,0,,,0.0,0.375,5.6,3,1759791600,32.25,45,4,32,0.75,4,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
2959223,Rian,OR,12,60,0.6,0.6008349108784723,4.833333333333333,0.2300763892745399,0,,,0.0,0.34615384615384615,18.0,10,1761962400,42.0,230,12,32,0.25,12,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
2087457,Absolyoshi101,OR,1,5,0.6,0.6,-4.0,0.1375,0,,,0.0,,1.5,1,1762020000,51.0,51,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
66305,Putrid,OR,7,34,0.6176470588235294,0.5981579573861499,5.428571428571429,0.29595082062733086,0,,,0.0,0.35714285714285715,10.4,6,1761422400,53.714285714285715,230,7,32,0.42857142857142855,7,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
2122574,Fattytuna,OR,6,30,0.6,0.5979134420081348,10.333333333333334,0.18747155717516298,0,,,0.0,0.36363636363636365,9.0,5,1761357600,55.0,230,6,32,0.3333333333333333,6,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
2373629,Zae,OR,19,86,0.5813953488372093,0.585619144397956,3.473684210526316,0.18206665014969609,0,,,0.0,0.3333333333333333,27.6,13,1762214400,40.10526315789474,230,19,32,0.42105263157894735,19,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
1452122,openmik,OR,12,53,0.5849056603773585,0.5741319368976754,9.333333333333334,0.23268336596784045,0,,,0.0,0.2692307692307692,17.3,10,1762570800,45.0,230,12,32,0.4166666666666667,12,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
3031650,TVDinner,OR,7,29,0.5517241379310345,0.5697905138275109,10.571428571428571,0.2603937253866467,0,,,0.0,0.38461538461538464,9.9,7,1761427800,46.142857142857146,230,7,32,0.2857142857142857,7,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
1799609,Lt_Salty,OR,2,9,0.5555555555555556,0.5623660850964516,-2.0,0.12793060189286604,0,,,0.0,0.0,2.9,2,1755360000,41.5,61,2,32,0.5,2,,,OR,False,1.0,UNITED STATES,False,1.0
1533613,Tedtonic,,9,30,0.5666666666666667,0.5587014543861375,3.2857142857142856,0.2655123169546457,0,,,0.0,0.3076923076923077,12.0,9,1760146200,40.55555555555556,230,9,32,0.2222222222222222,9,OR,1.0,OR,True,1.0,US,True,1.0
2471839,Enj0y,OR,9,40,0.55,0.5553354300540835,5.111111111111111,0.16921666215058678,0,,,0.0,0.2777777777777778,13.0,9,1761873600,55.44444444444444,230,9,32,0.3333333333333333,9,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
3128330,EyeViss,OR,17,77,0.5584415584415584,0.5544384473516453,1.375,0.23412024261294853,0,,,0.0,0.14814814814814814,24.7,13,1761962400,32.588235294117645,230,17,32,0.23529411764705882,17,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
5032743,Gundham,OR,3,13,0.5384615384615384,0.5503416356754135,11.333333333333334,0.1485921650913326,2,0.5,0.5,0.15384615384615385,0.3333333333333333,4.3,3,1758330000,109.0,230,3,32,0.6666666666666666,3,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
429067,Jinjo,OR,15,54,0.5555555555555556,0.5455374716826662,3.9166666666666665,0.1549508453828017,0,,,0.0,0.375,20.4,11,1761872400,40.8,230,15,32,0.4,15,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
284892,Tiernan,OR,11,43,0.5813953488372093,0.5332421276119667,7.363636363636363,0.17857977318073026,0,,,0.0,0.17647058823529413,15.3,6,1762214400,48.90909090909091,230,11,32,0.45454545454545453,11,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
